"Reference","Value","Footprint","Manufacturer_Name","Manufacturer_Part_Number","digikey_part_number","mount_type","QUANTITY"
"B1-B4","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht","4"
"C2,C10","1000uF","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","KEMET","A750MV108M1EAAE014","399-A750MV108M1EAAE014-ND","tht","2"
"C15","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","","","","1"
"C21,C23","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd","2"
"D1-D3","green","LED_THT:LED_D5.0mm","Everlight Electronics Co Ltd","333-2SYGT/S530-E2(DGK)","1080-333-2SYGT/S530-E2(DGK)-ND","tht","3"
"D12","D_Schottky","Diode_SMD:D_SOD-123F","Good-Ark Semiconductor","FS26","4786-FS26CT-ND","smd","1"
"D13","blue","LED_THT:LED_D5.0mm_Clear","American Bright Optoelectronics Corporation","BL-BBX1V4V-2-B02","2007-BL-BBX1V4V-2-B02-ND","tht","1"
"IC1","AP74700QW6-7","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","Diodes Incorporated","AP74700QW6-7","31-AP74700QW6-7CT-ND","smd","1"
"J1,J4","1017514","kicad libraries:PHOENIX_1017514","Phoenix Contact","1017514","277-17504-ND","tht","2"
"J2","Screw_Terminal_01x04","kicad libraries:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","On Shore Technology Inc.","OSTTC042162","ED2611-ND","tht","1"
"J3","Screw_Terminal_01x03","kicad libraries:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","On Shore Technology Inc.","OSTTC032162","ED2610-ND","tht","1"
"J5","VP0265840000G","kicad libraries:CONN04_VP026584_20P32X18P3_AMP","Amphenol Anytek","VP0265840000G","1818-VP0265840000G-ND","tht","1"
"J6","9   2.54mm pitch header pins","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","Sullins Connector Solutions","PRPC030SAAN-RC","S1011EC-30-ND","tht","1"
"J9,SW1","screw terminal","kicad libraries:CONN_OSTTC022162_OST","On Shore Technology Inc.","OSTTC022162","ED2609-ND","tht","2"
"Q1,Q2","PSMN1R2-25YLDX","Package_TO_SOT_SMD:LFPAK56","Nexperia USA Inc.","PSMN1R2-25YLDX","1727-2496-1-ND","smd","2"
"R4","2.74k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Stackpole Electronics Inc","RNCP1206FTD2K74","RNCP1206FTD2K74CT-ND","smd","1"
"R5","680","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","YAGEO","RC1206FR-07680RL","311-680FRCT-ND","smd","1"
"R6","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","YAGEO","RC1206JR-13100RL","13-RC1206JR-13100RLCT-ND","smd","1"
"R7","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","YAGEO","RC1206JR-13220RL","13-RC1206JR-13220RLCT-ND","smd","1"
"U1,U2,U4,U5","IFX007TAUMA1","kicad libraries:PG-TO263-7-1_INF","Infineon Technologies","IFX007TAUMA1","IFX007TAUMA1CT-ND","smd","4"
"U3","rpi pico","kicad libraries:MODULE_SC0918","Raspberry Pi","SC0918","2648-SC0918CT-ND","smd","1"
"U6","D78B05T-1.0","kicad libraries:D78B05T-1.0","Diwell Electronics","D78B05T-1.0","4369-D78B05T-1.0-ND","tht","1"
